"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 03:41:38 MSK 2021","Thu Aug 05 03:41:44 MSK 2021","5745","","Tests text scroll animation","","Tests text scroll animation","1) Test getText","1) Test getText",""
"passed","Thu Aug 05 03:41:53 MSK 2021","Thu Aug 05 03:41:53 MSK 2021","30","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","9) get fulltext under image","9) get fulltext under image",""
"passed","Thu Aug 05 03:41:46 MSK 2021","Thu Aug 05 03:41:47 MSK 2021","1084","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","4) Test clickable close_icon (with wrong Xpath) in automation mode","4) Test clickable close_icon (with wrong Xpath) in automation mode",""
"passed","Thu Aug 05 03:41:38 MSK 2021","Thu Aug 05 03:41:44 MSK 2021","5706","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","1) Load time test in default mode","1) Load time test in default mode",""
"passed","Thu Aug 05 03:41:44 MSK 2021","Thu Aug 05 03:41:44 MSK 2021","46","","Tests text scroll animation","","Tests text scroll animation","3) Test text animation without scrolling function in automation mode","3) Test text animation without scrolling function in automation mode",""
"passed","Thu Aug 05 03:41:44 MSK 2021","Thu Aug 05 03:41:47 MSK 2021","3043","","Tests text scroll animation","","Tests text scroll animation","4) Test text animation with scrolling in automation mode","4) Test text animation with scrolling in automation mode",""
"passed","Thu Aug 05 03:41:44 MSK 2021","Thu Aug 05 03:41:44 MSK 2021","18","","Tests text scroll animation","","Tests text scroll animation","2) Test getHtml","2) Test getHtml",""
"passed","Thu Aug 05 03:41:53 MSK 2021","Thu Aug 05 03:41:54 MSK 2021","1050","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","10) click on the text under image","10) click on the text under image",""
"passed","Thu Aug 05 03:41:50 MSK 2021","Thu Aug 05 03:41:50 MSK 2021","32","","Tests text scroll animation","","Tests text scroll animation","6) get css property","6) get css property",""
"passed","Thu Aug 05 03:41:53 MSK 2021","Thu Aug 05 03:41:53 MSK 2021","16","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","8) test get src link image","8) test get src link image",""
"passed","Thu Aug 05 03:41:53 MSK 2021","Thu Aug 05 03:41:53 MSK 2021","369","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","7) screenshot image in browser","7) screenshot image in browser",""
"passed","Thu Aug 05 03:41:54 MSK 2021","Thu Aug 05 03:41:57 MSK 2021","3188","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","11) double click image in fullscreen mode","11) double click image in fullscreen mode",""
"passed","Thu Aug 05 03:41:49 MSK 2021","Thu Aug 05 03:41:53 MSK 2021","4034","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","6) get image size in fullscreen mode","6) get image size in fullscreen mode",""
"passed","Thu Aug 05 03:41:44 MSK 2021","Thu Aug 05 03:41:45 MSK 2021","1095","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","2) Image opening test with <<FULLSCREEN>> link","2) Image opening test with <<FULLSCREEN>> link",""
"passed","Thu Aug 05 03:41:47 MSK 2021","Thu Aug 05 03:41:49 MSK 2021","1640","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","5) Image opening test by clicking (on the image)","5) Image opening test by clicking (on the image)",""
"passed","Thu Aug 05 03:41:47 MSK 2021","Thu Aug 05 03:41:50 MSK 2021","3031","","Tests text scroll animation","","Tests text scroll animation","5) Get size block with text animation","5) Get size block with text animation",""
"passed","Thu Aug 05 03:41:45 MSK 2021","Thu Aug 05 03:41:46 MSK 2021","1068","","Test smart page on the <<storied.co>>","","Test smart page on the <<storied.co>>","3) Test close_icon (close fullscreen mode)","3) Test close_icon (close fullscreen mode)",""
